#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	8         	ok              	1.0000000000e+02	1.5444000000e+03	8.6925087401e+20	4.6898233434e+20	2.6190409767e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	8         	ok              	7.9250000000e+01	1.5322000000e+03	6.9399387001e+20	3.7462787583e+20	2.6176357112e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	9         	ok              	6.2800000000e+01	1.5258000000e+03	5.5186699540e+20	2.9811121194e+20	2.6158312165e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	10        	ok              	4.9770000000e+01	1.5183000000e+03	4.3922070890e+20	2.3742493384e+20	2.6140274411e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	11        	ok              	3.9440000000e+01	1.5187000000e+03	3.4767010175e+20	1.8809670606e+20	2.6117991028e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	11        	ok              	3.1260000000e+01	1.5267000000e+03	2.7385776627e+20	1.4830354932e+20	2.6093186569e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	11        	ok              	2.4770000000e+01	1.5261000000e+03	2.1693555639e+20	1.1755992252e+20	2.6075044695e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	10        	ok              	1.9630000000e+01	1.5330000000e+03	1.7102552682e+20	9.2745836306e+19	2.6056745570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	9         	ok              	1.5560000000e+01	1.5556000000e+03	1.3350139351e+20	7.2448255946e+19	2.6038231982e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	7         	ok              	1.2330000000e+01	1.5724000000e+03	1.0461195014e+20	5.6795812710e+19	2.6026669884e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	7         	ok              	9.7700000000e+00	1.5778000000e+03	8.2588165087e+19	4.4849632518e+19	2.6020315737e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	6         	ok              	7.7430000000e+00	1.5749000000e+03	6.5564679310e+19	3.5610047519e+19	2.6016629011e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	6         	ok              	6.1360000000e+00	1.5731000000e+03	5.2011352009e+19	2.8251746247e+19	2.6013960787e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	5         	ok              	4.8630000000e+00	1.5706000000e+03	4.1283613529e+19	2.2426161915e+19	2.6012158080e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	5         	ok              	3.8540000000e+00	1.5639000000e+03	3.2856643260e+19	1.7849210348e+19	2.6011046140e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	5         	ok              	3.0540000000e+00	1.5528000000e+03	2.6221799701e+19	1.4245240550e+19	2.6010358800e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	5         	ok              	2.4200000000e+00	1.5389000000e+03	2.0965558052e+19	1.1389934937e+19	2.6009908132e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	5         	ok              	1.9180000000e+00	1.5221000000e+03	1.6799717942e+19	9.1268664103e+18	2.6009615448e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	5         	ok              	1.5200000000e+00	1.5036000000e+03	1.3477349402e+19	7.3219633019e+18	2.6009414424e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	5         	ok              	1.2050000000e+00	1.4849000000e+03	1.0818836237e+19	5.8776824175e+18	2.6009264141e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	5         	ok              	9.5450000000e-01	1.4650000000e+03	8.6861485478e+18	4.7190500664e+18	2.6009158550e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
